sentence1,sentence2,similarity
父亲住址,父亲住址,entailment
父亲证件号码,父亲身份证件号码,entailment
父亲证件类别,父亲身份证件类型,entailment
健康状况,健康状况,entailment
医疗机构名称,医疗机构名称,entailment
母亲国籍,母亲国籍,entailment
母亲民族,母亲民族,entailment
母亲年龄,母亲年龄,entailment
母亲住址,母亲居住地址,entailment
母亲证件号码,母亲身份证件号码,entailment
母亲证件类别,母亲身份证件类型,entailment
签发机构,签发机构,entailment
签发日期,证明签发日期,entailment
出生时间,出生时间,entailment
出生体重,出生体重,entailment
出生地,出生地,entailment
父亲年龄,父亲年龄,entailment
父亲身份证号码,父亲公民身份号码,entailment
父亲姓名,父亲姓名,entailment
母亲身份证号码,母亲公民身份号码,entailment
母亲姓名,母亲姓名,entailment
出生日期,出生日期,entailment
性别,性别,entailment
新生儿姓名,新生儿姓名,entailment
出生证明编号,出生医学证明编号,entailment
患者姓名,患者姓名,entailment
患者身份证号,患者公民身份号码,entailment
监护人姓名,监护人姓名,entailment
与患者关系,与患者关系,entailment
监护人电话,监护人联系电话,entailment
辖区村（居委会）联系人电话,居委会联系电话,entailment
目前诊断情况,目前诊断情况,entailment
确诊医院,确诊医院,entailment
确诊日期,疾病确诊日期,entailment
卡状态,精神病人卡状态,entailment
终止原因,终止原因,entailment
终止时间,终止日期,entailment
就业情况,就业情况,entailment
死亡日期,死亡日期,entailment
死亡原因,死亡原因,entailment
躯体疾病死亡原因,躯体疾病死亡原因,entailment
既往症状,既往症状,entailment
既往症状其他,既往症状其他,entailment
申请人姓名,申请人姓名,entailment
与当事人关系,与当事人关系,entailment
判决法院,判决法院,entailment
判决日期,判决日期,entailment
当事人姓名,案件当事人,entailment
当事人身份证号,当事人公民身份号码,entailment
案号代码,案号,entailment
出生日期,出生日期,entailment
身份证号码,公民身份号码,entailment
火化日期,火化日期,entailment
死亡日期,死亡日期,entailment
户籍所在地,户籍地,entailment
姓名,姓名,entailment
民族,民族,entailment
国籍,国籍,entailment
所在殡仪馆,所属殡仪馆,entailment
性别,性别,entailment
火化编号,火化证编号,entailment
职工账号,职工账号,entailment
职工姓名,职工姓名,entailment
身份证号码,公民身份号码,entailment
死亡时间,死亡时间,entailment
出生日期,出生日期,entailment
报卡日期,死亡报卡日期,entailment
死亡日期,死亡日期,entailment
报卡单位,死亡报卡单位,entailment
死亡原因,死亡原因,entailment
国家或地区,国家地区,entailment
婚姻状况,婚姻状况,entailment
家属地址,死者家属地址,entailment
家属电话,家属联系电话,entailment
联系家属姓名,联系家属姓名,entailment
死者生前工作单位,死者生前工作单位,entailment
民族,民族,entailment
证件号码,身份证件号码,entailment
最高诊断单位,最高诊断单位,entailment
死亡地点,死亡地点,entailment
文化程度,学历,entailment
户口街道代码,户口街道代码,entailment
户口详细地址,户口详址,entailment
户口区县代码,户口县区代码,entailment
户口市代码,户口市代码,entailment
户口省代码,户口省代码,entailment
居住街道代码,居住街道代码,entailment
居住详细地址,居住地详细地址,entailment
居住区县代码,居住县区代码,entailment
居住市代码,居住市代码,entailment
居住省代码,居住省代码,entailment
性别,性别,entailment
死者姓名,死者姓名,entailment
诊断依据,诊断依据,entailment
证件类型,身份证件类型,entailment
死亡证明编号,死亡证明编号,entailment
直接导致死亡的疾病名称,直接导致死亡的疾病名称,entailment
死亡证明发证机关,发证机关,entailment
窃电总额,窃电总额,entailment
窃电量,窃电量,entailment
身份证号,公民身份号码,entailment
用电户名,用户名,entailment
用电地址,用电地址,entailment
窃电时段,窃电时段,entailment
统计年月,电费统计年月,entailment
用电户号,用户号,entailment
地域名称,所在地区,entailment
企业法人姓名,法定代表人姓名,entailment
身份证号码／组织机构代码,身份证件号码或组织机构代码,entailment
证件号码,身份证件号码,entailment
证件类型,身份证件类型,entailment
执行法院,执行法院,entailment
失信被执行人具体情形,失信被执行人具体情形,entailment
法律生效文书确定的义务,法律生效文书确定的义务,entailment
执行依据文号,失信被执行人执行依据文号,entailment
作出执行依据单位,作出执行依据单位名称,entailment
失信被执行人姓名／名称,失信被执行人名称,entailment
标识自然人或企业法人,自然人或企业法定代表人姓名,entailment
被执行人的履行情况,失信被执行人履行情况,entailment
已履行部分,失信被执行人已履行部分,entailment
发布时间,失信信息发布时间,entailment
立案时间,立案时间,entailment
性别,性别,entailment
未履行部分,失信被执行人未履行部分,entailment
案号,案号,entailment
处罚处理名称,处罚处理名称,entailment
处罚处理内容,处罚处理内容,entailment
处罚处理日期,处罚处理日期,entailment
处罚处理种类,处罚处理种类,entailment
处罚对象类型,处罚对象类型,entailment
处罚对象名称,处罚对象名称,entailment
处罚机关,处罚机关,entailment
加密证件号码,身份证件号码,entailment
实际处罚部门,处罚部门,entailment
信息类型,处罚信息类型,entailment
有效截止日期,有效期截止日期,entailment
证件类型,身份证件类型,entailment
真实证件号码,身份证件号码,entailment
案件上报期,案件上报时间,entailment
案件性质,案件性质,entailment
法定代表人或者负责人姓名,法定代表人或者负责人姓名,entailment
法定代表人或者负责人性别,法定代表人或者负责人性别,entailment
法定代表人或者负责人证件号码,法定代表人或者负责人身份证件号码,entailment
法定代表人或者负责人证件名称,法定代表人或负责人证件名称,entailment
负有直接责任的财务负责人性别,负有直接责任的财务负责人性别,entailment
负有直接责任的财务负责人姓名,负有直接责任的财务负责人姓名,entailment
负有直接责任的财务负责人证件号码,负有直接责任的财务负责人证件号码,entailment
负有直接责任的财务负责人证件名称,负有直接责任的财务负责人身份证件名称,entailment
负有直接责任的中介机构信息及其从业人员信息,负有直接责任的中介机构及其从业人员信息,entailment
纳税人识别号,纳税人识别号,entailment
相关法律依据及税务处理处罚情况,相关法律依据及税务处理处罚情况,entailment
注册地址,企业注册地址,entailment
主要违法事实,主要违法事实,entailment
组织机构代码,组织机构代码,entailment
纳税人名称,纳税人名称,entailment
案号,案号,entailment
案由,案由,entailment
公务员姓名,姓名,entailment
判决法院,判决法院,entailment
判决结果,司法案件判决结果,entailment
身份证号,公民身份号码,entailment
生效时间,司法案件判决生效时间,entailment
案号代码,案号,entailment
案号,案号,entailment
序号,司法案件序号,entailment
当事人,当事人,entailment
发证机关,发证机关,entailment
发证日期,发证日期,entailment
司法文书内容,司法文书内容,entailment
状态,调解书状态,entailment
文件格式,法律文书文件格式,entailment
文书名称,法律文书名称,entailment
案号代码,案号,entailment
案号,案号,entailment
序号,司法案件序号,entailment
当事人姓名,案件当事人,entailment
当事人身份证号,当事人公民身份号码,entailment
发证机关,发证机关,entailment
发证日期,发证日期,entailment
婚姻关系情况,婚姻状况,entailment
审批文书内容,审批文书内容,entailment
状态,判决书状态,entailment
文件格式,法律文书文件格式,entailment
文书名称,法律文书名称,entailment
案号代码,案号,entailment
案号,案号,entailment
执行金额,执行金额,entailment
地址,地址,entailment
法定代表人,法定代表人,entailment
共同被执行人,共同被执行人,entailment
举报电话,举报电话,entailment
举报联系人,举报联系人姓名,entailment
曝光日期,曝光日期,entailment
身份证号,公民身份号码,entailment
未执行金额,未执行金额,entailment
未执行物品,未执行物品,entailment
未执行行为,未执行行为,entailment
姓名,姓名,entailment
执行案由,执行案由,entailment
执行法院,执行法院,entailment
执行物品,执行物品,entailment
执行行为,执行行为,entailment
执行依据,执行依据,entailment
案号,案号,entailment
序号,司法案件序号,entailment
审理状态,生效案件审理状态,entailment
案由,案由,entailment
承办单位,承办单位,entailment
承办人,生效案件承办人姓名,entailment
当事人名称,当事人姓名,entailment
结案方式,结案方式,entailment
结案日期,结案日期,entailment
立案日期,立案日期,entailment
判决结果,司法案件判决结果,entailment
生效日期,生效日期,entailment
宣判日期,宣判日期,entailment
案号代码,案号,entailment
案号,案号,entailment
被执行人的履行情况,失信被执行人履行情况,entailment
被执行人姓名/名称,失信被执行人名称,entailment
被执行人性质,失信被执行人性质,entailment
发布时间,失信信息发布时间,entailment
法定代表人或者负责人姓名,法定代表人或者负责人姓名,entailment
身份证号码,公民身份号码,entailment
失信被执行人行为情况,失信被执行人行为情况,entailment
生效法律文书确定的义务,生效法律文书确定的义务,entailment
未履行部分,失信被执行人未履行部分,entailment
性别,性别,entailment
已履行部分,失信被执行人已履行部分,entailment
做出执行依据单位,做出失信执行依据单位,entailment
执行法院,执行法院,entailment
执行依据文号,失信被执行人执行依据文号,entailment
组织机构代码,组织机构代码,entailment
被执行人序号,失信被执行人序号,entailment
法院代码,法院代码,entailment
搜案编号,搜案编号,entailment
搜案年号,搜案年号,entailment
住址,住址,entailment
个人财产保全情况,个人财产保全情况,entailment
联系电话,联系电话,entailment
判决时间,判决时间,entailment
个人涉案的民事刑事判决生效记录,个人涉案的民事刑事判决生效记录,entailment
身份证号,公民身份号码,entailment
生效时间,司法案件判决生效时间,entailment
姓名,姓名,entailment
案号代码,案号,entailment
序号,司法案件序号,entailment
案号,案号,entailment
序号,司法案件序号,entailment
案由,案由,entailment
量刑类型,量刑类型,entailment
判处法院,判决法院,entailment
判决结果,司法案件判决结果,entailment
是否剥夺政治权力,是否剥夺政治权力,entailment
身份证号,公民身份号码,entailment
生效时间,司法案件判决生效时间,entailment
姓名,姓名,entailment
案号代码,案号,entailment
量刑序号,量刑序号,entailment
案号,案号,entailment
序号,司法案件序号,entailment
出生日期,出生日期,entailment
当事人类型,司法案件当事人类型,entailment
当事人名称,当事人姓名,entailment
单位类型,当事人单位类型,entailment
地址,地址,entailment
法定代表人姓名,法定代表人姓名,entailment
法定代表人证件号,法定代表人身份证件号码,entailment
法定代表人证件类型,法定代表人身份证件类型,entailment
国籍,国籍,entailment
联系电话,联系电话,entailment
民族,民族,entailment
诉讼地位,诉讼地位,entailment
文化程度,学历,entailment
性别,性别,entailment
证件号,身份证件号码,entailment
证件类型,身份证件类型,entailment
职业,职业,entailment
案号代码,案号,entailment
当事人,当事人,entailment
单位名称,单位名称,entailment
结案金额,结案金额,entailment
结案日期,结案日期,entailment
立案日期,立案日期,entailment
申请人身份证号码,申请人公民身份号码,entailment
申请人姓名,申请人姓名,entailment
统一社会信用代码,统一社会信用代码,entailment
案号代码,案号,entailment
联系地址,联系地址,entailment
联系电话,联系电话,entailment
信访人姓名,信访人姓名,entailment
维权日期,维权日期,entailment
身份证号,公民身份号码,entailment
维权内容,维权内容,entailment
交通方式,交通方式,entailment
身份证明号码,身份证件号码,entailment
事故责任,事故责任,entailment
主要违法行为,主要违法行为,entailment
违法行为2,违法行为,entailment
违法行为3,违法行为,entailment
姓名,姓名,entailment
判决单位,判决法院,entailment
判决结果,司法案件判决结果,entailment
出生日期,出生日期,entailment
法律文书号,法律文书号,entailment
发证机关,发证机关,entailment
发证日期,发证日期,entailment
住址,住址,entailment
判决日期,判决日期,entailment
判决罪名,判决罪名,entailment
刑期截止日期,刑期截止日期,entailment
证书状态,刑满释放人员证明文书状态,entailment
性别,性别,entailment
姓名,姓名,entailment
刑期开始日期,刑期开始日期,entailment
证件号码,身份证件号码,entailment
证件类型,身份证件类型,entailment
出生日期,出生日期,entailment
公民身份号码,公民身份号码,entailment
户籍地,户籍地,entailment
户籍门(楼)详址,户籍门楼详址,entailment
联系方式,联系电话,entailment
民族,民族,entailment
上访类型,上访类型,entailment
上访原因,上访原因,entailment
上访状态,上访状态,entailment
性别,性别,entailment
学历,学历,entailment
姓名,姓名,entailment
现住门(楼)详址,现住门楼详址,entailment
姓名,姓名,entailment
违法时间,违法时间,entailment
身份证号码,公民身份号码,entailment
处罚对象,处罚对象名称,entailment
处罚对象主体识别码,处罚对象主体识别码,entailment
处罚决定书文号,处罚决定书文号,entailment
处罚机关,处罚机关,entailment
处罚内容,处罚内容,entailment
处罚日期,处罚日期,entailment
处罚事由,处罚事由,entailment
处罚依据,处罚依据,entailment
处罚种类,处罚种类,entailment
处罚执行情况,处罚执行情况,entailment
处罚对象名称,处罚对象名称,entailment
处罚对象统一社会信用代码,处罚对象统一社会信用代码,entailment
处罚对象组织机构代码,处罚对象组织机构代码,entailment
处罚决定书文号,处罚决定书文号,entailment
处罚机关,处罚机关,entailment
处罚内容,处罚内容,entailment
处罚日期,处罚日期,entailment
处罚事由,处罚事由,entailment
处罚依据,处罚依据,entailment
处罚种类,处罚种类,entailment
处罚执行情况,处罚执行情况,entailment
处罚对象,处罚对象名称,entailment
处罚对象身份证号,处罚对象身份证件号码,entailment
处罚决定书文号,处罚决定书文号,entailment
处罚机关,处罚机关,entailment
处罚内容,处罚内容,entailment
处罚日期,处罚日期,entailment
处罚事由,处罚事由,entailment
处罚依据,处罚依据,entailment
处罚种类,处罚种类,entailment
处罚执行情况,处罚执行情况,entailment
处罚机关,处罚机关,entailment
处罚内容,处罚内容,entailment
处罚日期,处罚日期,entailment
处罚文号,处罚决定书文号,entailment
当事法人姓名,当事法人名称,entailment
统一社会信用代码,统一社会信用代码,entailment
违法事实,处罚违法事实,entailment
组织机构代码,组织机构代码,entailment
单位名称,单位名称,entailment
船舶检验证登记证号,船舶检验证登记证号,entailment
案由名称,案由,entailment
"案件来源，1检查获得,2上级交办,3有关单位移送,4群众举报",案件来源,entailment
船籍港,船籍港,entailment
填报时间,填报时间,entailment
检查地点,检查地点,entailment
违法行为发生检查日期,违法行为发生检查日期,entailment
违规行为,违规行为,entailment
"船舶检验证书情况，1无或无效,2有效",船舶检验证书状态,entailment
渔船材质,渔船材质,entailment
船名,船名,entailment
船主姓名,船主姓名,entailment
船主身份证号,船主公民身份号码,entailment
联系方式,联系电话,entailment
"船长，1、12米以下,2、12米至24米,3、24米以上",船长,entailment
船名号,船名,entailment
额定主机功率,额定主机功率,entailment
证载作业类型,渔船证载作业类型,entailment
姓名,姓名,entailment
身份证号码,公民身份号码,entailment
准考证号,准考证号,entailment
考试项目名称,考试科目,entailment
工作单位,工作单位,entailment
处理决定,处理决定,entailment
决定时间,考生违纪处理决定时间,entailment
处理意见,处理意见,entailment
工作单位,工作单位,entailment
决定时间,考生违纪处理决定时间,entailment
考试名称,考试名称,entailment
身份证号,公民身份号码,entailment
违纪行为,违纪行为,entailment
姓名,姓名,entailment
违法违规类型,违法违规类型,entailment
处罚决定文书号,处罚决定书文号,entailment
立案时间,立案时间,entailment
组织机构代码,组织机构代码,entailment
处罚单位,处罚单位,entailment
处罚金额,处罚金额,entailment
行政处罚决定,处罚决定内容,entailment
处罚类型,处罚类型,entailment
查获币值,处罚查获币值,entailment
移送日期,移送日期,entailment
移送部门,移送部门,entailment
统一社会信用代码,统一社会信用代码,entailment
行政处罚的种类和依据,处罚的种类和依据,entailment
行政处罚的履行方式和期限,处罚的履行方式和期限,entailment
处罚文号,处罚决定书文号,entailment
被处罚单位法定代表人身份证号码,处罚单位法定代表人公民身份号码,entailment
综合判定(行政处罚决定书)(全文或摘要),处罚内容,entailment
单位名称,单位名称,entailment
公告日期,公告日期,entailment
法定代表人姓名,法定代表人姓名,entailment
主要违法事实(违法行为)(违法情况),主要违法行为,entailment
处罚日期,处罚日期,entailment
处罚情况,处罚内容,entailment
统一社会信用代码,统一社会信用代码,entailment
处罚结果,处罚结果,entailment
处罚时间,处罚日期,entailment
处罚事实,处罚事实,entailment
处罚依据,处罚依据,entailment
所属单位名称,所属单位,entailment
所属单位组织机构代码,所属单位组织机构代码,entailment
发布期限,公告发布期限,entailment
发布时间,黑名单信息发布时间,entailment
失信黑名单项目名称,失信黑名单项目名称,entailment
自然人身份证号码,公民身份号码,entailment
自然人姓名,姓名,entailment
处罚文号,处罚决定书文号,entailment
处罚结果,处罚结果,entailment
处罚时间,处罚日期,entailment
处罚事实,处罚事实,entailment
处罚文号,处罚决定书文号,entailment
处罚依据,处罚依据,entailment
发布时间,黑名单信息发布时间,entailment
法定代表人姓名,法定代表人姓名,entailment
法定代表人身份证号,法定代表人公民身份号码,entailment
发布期限,公告发布期限,entailment
单位名称/姓名,姓名,entailment
统一社会信用代码/身份证号,统一社会信用代码或身份证件号码,entailment
处罚结果,处罚结果,entailment
处罚时间,处罚日期,entailment
法人身份证号,法定代表人公民身份号码,entailment
法人姓名,法定代表人姓名,entailment
企业名称,企业名称,entailment
处罚原因,处罚原因,entailment
解除临时查封时间,解除临时查封时间,entailment
临时查封时间,临时查封时间,entailment
单位名称/姓名,姓名,entailment
签名机关,签名机关,entailment
强制执行机关,强制执行机关,entailment
强制执行时间,行政强制执行时间,entailment
强制执行文号,司法案件强制执行文号,entailment
强制执行内容,行政强制执行内容,entailment
统一社会信用代码/身份证号,统一社会信用代码或身份证件号码,entailment
临时查封/解除临时查封文号,查解封文号,entailment
处罚机关,处罚机关,entailment
处罚对象,处罚对象名称,entailment
处罚对象身份证号,处罚对象身份证件号码,entailment
处罚决定书号,处罚决定书文号,entailment
处罚种类,处罚种类,entailment
处罚日期,处罚日期,entailment
处罚事由,处罚事由,entailment
处罚依据,处罚依据,entailment
处罚对象所在组织统一社会信用代码,处罚对象所属组织统一社会信用代码,entailment
机构编号,处罚机构,entailment
处罚对象名称,处罚对象名称,entailment
处罚对象身份证号,处罚对象身份证件号码,entailment
处罚决定书文号,处罚决定书文号,entailment
处罚机关,处罚机关,entailment
处罚内容,处罚内容,entailment
处罚日期,处罚日期,entailment
处罚种类,处罚种类,entailment
区域编码,行政区划代码,entailment
区域名称,行政区划名称,entailment
处罚对象,处罚对象名称,entailment
处罚机关,处罚机关,entailment
处罚日期,处罚日期,entailment
处罚事由,处罚事由,entailment
处罚种类,处罚种类,entailment
区域编码,行政区划代码,entailment
区域名称,行政区划名称,entailment
身份证号,公民身份号码,entailment
统计日期,统计日期,entailment
处罚内容,处罚内容,entailment
被处罚人姓名（单位）,处罚对象名称,entailment
被处罚人身份证号（统一社会信用代码）,处罚对象公民身份号码,entailment
处罚对象（1：律师，2：事务所）,处罚对象代码,entailment
处罚日期,处罚日期,entailment
处罚单位,处罚单位,entailment
处罚结束日期,处罚结束日期,entailment
处罚起始日期,处罚开始日期,entailment
处罚类型,处罚类型,entailment
处罚标题,处罚名称,entailment
处罚标题,处罚名称,entailment
处罚对象,处罚对象名称,entailment
处罚机关,处罚机关,entailment
处罚类别,处罚类型,entailment
法定代表人,法定代表人,entailment
法定代表人身份证号,法定代表人公民身份号码,entailment
公示截止期,公示截止日期,entailment
处罚决定日期,处罚决定日期,entailment
处罚内容,处罚内容,entailment
罚款金额（万元）,罚款金额,entailment
没收违法所得的金额,没收违法所得金额,entailment
暂扣或吊销证照名称及编号,律师暂扣或吊销证照名称及编号,entailment
区域名称,行政区划名称,entailment
数据来源单位,数据来源单位,entailment
违法事实,处罚违法事实,entailment
违法行为类型,违法行为类型,entailment
行政处罚决定文书号,处罚决定书文号,entailment
工商注册号,统一社会信用代码,entailment
行政相对人名称,行政相对人名称,entailment
统一社会信用代码,统一社会信用代码,entailment
社会组织登记证号,社会组织登记证号,entailment
税务登记号,税务登记号,entailment
事业单位证书号,统一社会信用代码,entailment
证件号码,身份证件号码,entailment
证件类型,身份证件类型,entailment
组织机构代码,组织机构代码,entailment
处罚依据,处罚依据,entailment
处罚有效期,处罚有效期限,entailment
处罚对象,处罚对象名称,entailment
处罚对象身份证号,处罚对象身份证件号码,entailment
处罚决定书文号,处罚决定书文号,entailment
处罚机关,处罚机关,entailment
处罚日期,处罚日期,entailment
处罚事由,处罚事由,entailment
处罚依据,处罚依据,entailment
处罚种类,处罚种类,entailment
处罚执行情况,处罚执行情况,entailment
受理形式,处罚受理形式,entailment
投诉请求,投诉请求,entailment
投诉日期,投诉日期,entailment
投诉理由,投诉理由,entailment
投诉人姓名,投诉人姓名,entailment
投诉人性别,投诉人性别,entailment
投诉人联系电话,投诉人联系电话,entailment
投诉形式,投诉形式,entailment
投诉人职业,投诉人职业,entailment
登记日期,登记日期,entailment
案件编号,案号,entailment
投诉事项,投诉事项,entailment
被投诉鉴定人员对象名称,被投诉鉴定人员对象名称,entailment
主管司法局,主管司法局,entailment
机构名称/负责人,机构或负责人名称,entailment
罚款,罚款金额,entailment
被投诉机构对象名称,被投诉机构对象名称,entailment
被投诉对象类型,被投诉对象类型,entailment
矫正类别,社区矫正人员类别,entailment
矫正期限,矫正期限,entailment
区域名称,行政区划名称,entailment
身份证号,公民身份号码,entailment
所属社区,所属社区,entailment
统计日期,统计日期,entailment
姓名,姓名,entailment
户籍详址,户籍地址区划内详细地址,entailment
户籍省县,户籍地省市区县,entailment
婚姻状况,婚姻状况,entailment
籍贯,籍贯,entailment
现住地址,居住地址,entailment
证件类型,身份证件类型,entailment
证件号码,身份证件号码,entailment
犯罪内容,犯罪内容,entailment
文化程度,学历,entailment
进入日期,进入戒毒所日期,entailment
进入类型,进入戒毒所类型,entailment
宗教信仰,宗教信仰,entailment
首次进入日期,首次进入戒毒所日期,entailment
所属部门,所属部门,entailment
电话,联系电话,entailment
记录是否删除,记录是否删除,entailment
判决时间,判决时间,entailment
吸毒方式,吸毒方式,entailment
姓名,姓名,entailment
民族,民族,entailment
戒毒所编码,戒毒所编码,entailment
吸毒类型,吸毒类型,entailment
警察名字,警察名字,entailment
性别,性别,entailment
来源类型,戒毒人员来源类型,entailment
开始日期,社保参保开始日期,entailment
疾病,疾病名称,entailment
职业,职业,entailment
服务处所,工作单位,entailment
附加刑,附加刑,entailment
直系亲属名单、关系,直系亲属名单及关系,entailment
关押地点（变更情况）,服刑关押地点,entailment
籍贯,籍贯,entailment
家庭住址,家庭住址,entailment
减刑、假释情况,减刑假释情况,entailment
入监时间,服刑入监时间,entailment
释放时间,刑满释放时间,entailment
身份证号码,公民身份号码,entailment
姓名,姓名,entailment
刑期起日,刑期开始日期,entailment
刑期止日,刑期截止日期,entailment
罪名,罪名,entailment
涉案金额,涉案金额,entailment
申请人姓名,申请人姓名,entailment
单位名称,单位名称,entailment
统一社会信用代码,统一社会信用代码,entailment
申请人身份证号码,申请人公民身份号码,entailment
协议达成日期,协议达成日期,entailment
调解时间,调解时间,entailment
当事人年龄,当事人年龄,entailment
当事人地址,当事人通讯地址,entailment
当事人联系方式,当事人联系电话,entailment
当事人姓名,案件当事人,entailment
当事人性别,当事人性别,entailment
当事人职业,当事人职业,entailment
复杂程度,复杂程度,entailment
调解类型,调解类型,entailment
履行情况,履行情况,entailment
金额,涉案金额,entailment
姓名,姓名,entailment
调解结果,调解结果,entailment
调解员姓名,调解员姓名,entailment
当事人类型,司法案件当事人类型,entailment
协议形式,协议形式,entailment
调解案件ID,调解案件编码,entailment
部门名称,法援部门名称,entailment
案件索引,法援案件编码,entailment
案由,案由,entailment
法律服务机构,法律服务机构,entailment
法律援助机构索引,法律援助机构编码,entailment
联系方式,联系电话,entailment
区域编码,行政区划代码,entailment
区域名称,行政区划名称,entailment
身份证号,公民身份号码,entailment
受援人姓名,受援人姓名,entailment
援助日期,援助日期,entailment
援助律师,援助律师,entailment
性别 0:女，1：男,性别,entailment
姓名,姓名,entailment
身份证,公民身份号码,entailment
联系方式,联系电话,entailment
哪类人群,法援人群类别,entailment
申请类型（事由）,法援申请类型,entailment
所在区域,行政区划名称,entailment
户籍,户籍地,entailment
当事人住所,当事人住址,entailment
对方当事人姓名,对方当事人姓名,entailment
对方当事人住所地,对方当事人居住地,entailment
申请内容,申请内容,entailment
援助状态,法援状态,entailment
处罚对象,处罚对象名称,entailment
处罚决定书文号,处罚决定书文号,entailment
处罚决定,处罚决定内容,entailment
处罚日期,处罚日期,entailment
处罚事由,处罚事由,entailment
处罚种类,处罚种类,entailment
结案情况,处罚结案情况,entailment
处罚对象身份证号,处罚对象身份证件号码,entailment
处罚机关,处罚机关,entailment
处罚对象,处罚对象名称,entailment
处罚决定书文号,处罚决定书文号,entailment
处罚决定,处罚决定内容,entailment
处罚日期,处罚日期,entailment
处罚事由,处罚事由,entailment
处罚种类,处罚种类,entailment
结案情况,处罚结案情况,entailment
处罚对象身份证号,处罚对象身份证件号码,entailment
处罚机关,处罚机关,entailment
案由,案由,entailment
处罚结果,处罚结果,entailment
处罚日期,处罚日期,entailment
文号,处罚决定书文号,entailment
处罚类型,处罚类型,entailment
处罚年限,处罚年限,entailment
工作单位,工作单位,entailment
填报单位,填报单位,entailment
姓名,姓名,entailment
身份证号码,公民身份号码,entailment
测绘资质号,测绘资质号,entailment
惩治措施,惩治措施,entailment
单位名称,单位名称,entailment
法定代表人,法定代表人,entailment
法定代表人身份证号,法定代表人公民身份号码,entailment
法律依据,法律依据,entailment
组织机构代码,组织机构代码,entailment
违法事实,处罚违法事实,entailment
失信“黑名单”信息名称,失信黑名单项目名称,entailment
统一社会信用代码,统一社会信用代码,entailment
行政处罚决定机关,处罚决定机关,entailment
行政处罚时间,处罚日期,entailment
自然人,自然人姓名,entailment
自然人身份证号,公民身份号码,entailment
行政处罚决定书编号,处罚决定书文号,entailment
单位名称,单位名称,entailment
行政相对人分类,行政相对人分类,entailment
解除临时查封时间,解除临时查封时间,entailment
临时查封时间,临时查封时间,entailment
临时查封/解除临时查封文号,查解封文号,entailment
强制执行内容,行政强制执行内容,entailment
强制执行时间,行政强制执行时间,entailment
强制执行文号,司法案件强制执行文号,entailment
身份证号,公民身份号码,entailment
统一社会信用代码,统一社会信用代码,entailment
姓名,姓名,entailment
行政强制分类,行政强制分类,entailment
状态标记,强制执行状态,entailment
组织机构代码,组织机构代码,entailment
区/县,所在区县,entailment
姓名,姓名,entailment
身份证,公民身份号码,entailment
工作单位,工作单位,entailment
工作单位统一社会信用代码,工作单位统一社会信用代码,entailment
失信行为类别,失信行为类别,entailment
处罚时间,处罚日期,entailment
处罚内容,处罚内容,entailment
自然人姓名,姓名,entailment
个人身份证号,公民身份号码,entailment
违法失信行为事实,违法失信行为事实,entailment
处理、处分、处罚或决定的主要内容,处罚主要内容,entailment
失信认定依据,失信认定依据,entailment
失信认定日期,失信认定日期,entailment
失信认定单位,失信认定单位,entailment
信息源头部门全称,信息源头部门全称,entailment
提供单位全称,提供单位,entailment
处理状态,处理状态,entailment
当事人,当事人,entailment
号牌号码,车牌号码,entailment
号牌种类,机动车号牌种类,entailment
交款标记,交款标记,entailment
驾驶证号,驾驶证号码,entailment
违法地址,违法地址,entailment
违法事件,违法事件,entailment
违法行为,违法行为,entailment
应缴罚款金额,应缴罚款金额,entailment
发布开始时间,发布开始时间,entailment
登记日期,登记日期,entailment
所在企业组织机构代码,所属企业组织机构代码,entailment
所在企业名称,所属企业,entailment
处罚部门,处罚部门,entailment
发布结束时间,发布结束时间,entailment
工程名称,建筑工程名称,entailment
不良行为内容,不良行为内容,entailment
不良行为代码,不良行为代码,entailment
不良行为类别,不良行为类别,entailment
不良行为发生日期,不良行为发生日期,entailment
处罚决定文号,处罚决定书文号,entailment
工程地址,建筑工程地址,entailment
建设单位,承建单位名称,entailment
建设单位组织机构代码,建设单位组织机构代码,entailment
处罚日期,处罚日期,entailment
证件号码,身份证件号码,entailment
是否发布,是否发布,entailment
处罚决定内容,处罚决定内容,entailment
处罚金额,处罚金额,entailment
姓名,姓名,entailment
人员类型,建筑企业人员类别,entailment
不良行为发生所在地市,所在地市,entailment
不良行为发生所在区县,所在区县,entailment
不良行为发生所在省,所在省,entailment
统一社会信用代码,统一社会信用代码,entailment
组织机构代码,组织机构代码,entailment
企业名称,企业名称,entailment
登记日期,登记日期,entailment
登记部门,登记部门,entailment
诚信类型,诚信类型,entailment
处罚部门,处罚部门,entailment
处罚部门级别,处罚机关级别,entailment
不良行为代码,不良行为代码,entailment
不良行为类别,不良行为类别,entailment
不良行为发生日期,不良行为发生日期,entailment
工程地址,建筑工程地址,entailment
工程建设单位,工程建设单位名称,entailment
工程名称,建筑工程名称,entailment
处罚日期,处罚日期,entailment
不良行为描述,不良行为内容,entailment
证件号码,身份证件号码,entailment
证件类型,身份证件类型,entailment
处罚决定内容,处罚决定内容,entailment
姓名,姓名,entailment
处罚依据,处罚依据,entailment
统一社会信用代码,统一社会信用代码,entailment
处罚日期,处罚日期,entailment
单位名称,单位名称,entailment
组织机构代码,组织机构代码,entailment
处罚机关,处罚机关,entailment
